iter	Passed	Remaining
0	0	98
1	1	87
2	2	81
3	3	74
4	3	71
5	4	69
6	5	68
7	5	67
8	6	67
9	7	66
10	8	67
11	9	66
12	9	64
13	10	63
14	10	62
15	11	61
16	12	60
17	13	59
18	13	59
19	14	58
20	15	58
21	16	57
22	16	56
23	17	56
24	18	55
25	19	54
26	20	54
27	20	53
28	21	52
29	22	52
30	23	51
31	23	50
32	24	49
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	54	20
73	55	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	15
79	61	15
80	62	14
81	62	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	70	7
91	71	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	76	1
98	77	0
99	78	0
