iter	Passed	Remaining
0	163	163030
1	164	81844
2	164	54699
3	165	41119
4	165	32973
5	166	27535
6	166	23648
7	167	20734
8	167	18463
9	168	16654
10	168	15173
11	169	13937
12	169	12889
13	170	11996
14	170	11217
15	171	10536
16	171	9936
17	172	9401
18	172	8921
19	173	8490
20	173	8102
21	174	7748
22	174	7426
23	175	7135
24	176	6875
25	176	6626
26	177	6392
27	177	6175
28	178	5974
29	178	5784
30	179	5607
31	179	5442
32	180	5287
33	180	5140
34	181	5001
35	181	4871
36	182	4748
37	182	4630
38	183	4520
39	184	4416
40	184	4317
41	185	4222
42	185	4131
43	186	4044
44	186	3960
45	187	3879
46	187	3802
47	188	3730
48	188	3662
49	189	3598
50	190	3536
51	190	3475
52	191	3416
53	191	3360
54	192	3305
55	193	3254
56	193	3204
57	194	3155
58	194	3108
59	195	3063
60	196	3019
61	196	2976
62	197	2934
63	197	2894
64	198	2855
65	199	2817
66	199	2780
67	200	2744
68	200	2709
69	201	2675
70	201	2642
71	202	2610
72	203	2579
73	203	2550
74	204	2522
75	205	2495
76	205	2468
77	206	2440
78	206	2412
79	207	2386
80	208	2361
81	208	2335
82	208	2307
83	209	2283
84	209	2259
85	210	2236
86	210	2213
87	211	2191
88	211	2169
89	212	2148
90	213	2128
91	213	2108
92	214	2088
93	214	2069
94	215	2050
95	215	2032
96	216	2014
97	216	1995
98	217	1978
99	217	1961
100	218	1944
101	219	1929
102	219	1914
103	220	1898
104	220	1882
105	221	1866
106	221	1851
107	222	1836
108	222	1821
109	223	1806
110	223	1792
111	224	1777
112	224	1763
113	225	1749
114	225	1736
115	226	1722
116	226	1708
117	226	1696
118	227	1684
119	228	1672
120	228	1660
121	229	1648
122	229	1636
123	230	1625
124	230	1615
125	231	1604
126	231	1592
127	232	1581
128	232	1571
129	233	1560
130	233	1550
131	234	1541
132	235	1532
133	235	1522
134	236	1512
135	236	1503
136	237	1493
137	237	1484
138	238	1475
139	238	1467
140	239	1458
141	239	1448
142	240	1439
143	240	1431
144	241	1422
145	241	1414
146	242	1405
147	242	1397
148	243	1389
149	243	1381
150	244	1373
151	244	1365
152	245	1357
153	245	1350
154	246	1342
155	246	1334
156	247	1327
157	247	1320
158	248	1313
159	248	1306
160	249	1299
161	249	1292
162	250	1285
163	250	1279
164	251	1272
165	251	1265
166	252	1259
167	252	1252
168	253	1245
169	253	1239
170	254	1233
171	254	1227
172	255	1221
173	256	1215
174	256	1209
175	257	1203
176	257	1198
177	258	1192
178	258	1186
179	259	1181
180	259	1175
181	260	1169
182	260	1164
183	261	1159
184	261	1153
185	262	1148
186	263	1143
187	263	1139
188	264	1134
189	265	1130
190	265	1125
191	266	1119
192	266	1114
193	267	1109
194	267	1105
195	268	1100
196	268	1096
197	269	1091
198	269	1086
199	270	1081
200	271	1077
201	271	1072
202	272	1068
203	272	1063
204	273	1059
205	273	1054
206	274	1050
207	274	1045
208	275	1041
209	275	1037
210	276	1032
211	276	1028
212	277	1024
213	277	1019
214	278	1016
215	279	1012
216	279	1009
217	280	1005
218	280	1001
219	281	997
220	281	993
221	282	989
222	282	985
223	283	981
224	283	977
225	284	973
226	284	969
227	285	965
228	285	961
229	286	957
230	286	953
231	287	950
232	287	946
233	288	942
234	288	939
235	288	935
236	289	931
237	289	928
238	290	924
239	290	921
240	291	917
241	292	914
242	292	911
243	293	908
244	294	906
245	294	903
246	295	899
247	295	896
248	296	893
249	296	889
250	297	886
251	297	883
252	298	880
253	298	876
254	298	873
255	299	870
256	299	866
257	300	863
258	300	860
259	301	858
260	301	855
261	302	851
262	302	848
263	303	845
264	303	842
265	304	840
